@relation 'dataset-information'
@attribute 'id' numeric
@attribute 'State' {AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY}
@attribute 'Account_length ' numeric
@attribute 'Area_code ' numeric
@attribute 'International_plan ' {No, Yes}
@attribute 'Voice_mail_plan ' {No, Yes}
@attribute 'Number_vmail_messages ' numeric
@attribute 'Total_day_minutes ' numeric
@attribute 'Total_day_calls' numeric
@attribute 'Total_day_charge' numeric
@attribute 'Total_eve_minutes' numeric
@attribute 'Total_eve_calls' numeric
@attribute 'Total_eve_charge' numeric
@attribute 'Total_night_minutes' numeric
@attribute 'Total_night_calls' numeric
@attribute 'Total_night_charge' numeric
@attribute 'Total_intl_minutes' numeric
@attribute 'Total_intl_calls' numeric
@attribute 'Total_intl_charge' numeric
@attribute 'Customer_service_calls ' numeric
@attribute 'Churn_Label' {FALSE, TRUE}
@data
932,MD,88,415,Yes,No,0,235.1,98,39.97,251.8,79,21.4,285.9,76,12.87,7.2,2,1.94,4,TRUE
933,VT,48,510,No,No,0,188.4,63,32.03,165.9,89,14.1,205.7,71,9.26,13.2,2,3.56,1,FALSE
934,OR,135,415,No,No,0,194.8,97,33.12,235.3,118,20,174.4,126,7.85,11,3,2.97,1,FALSE
935,IN,100,510,No,No,0,247.8,117,42.13,130,95,11.05,134.3,125,6.04,6.9,2,1.86,1,FALSE
936,MO,98,415,No,No,0,221.2,80,37.6,213.6,104,18.16,291.8,89,13.13,11.9,3,3.21,4,FALSE
937,FL,75,510,No,Yes,26,118.5,86,20.15,213.9,118,18.18,132.6,99,5.97,13.4,3,3.62,2,FALSE
938,DC,180,415,No,Yes,33,231.8,78,39.41,232.9,79,19.8,206.9,121,9.31,7.6,4,2.05,1,FALSE
939,VT,100,415,No,Yes,25,215.9,90,36.7,257.9,92,21.92,180.2,157,8.11,11.6,4,3.13,1,FALSE
940,OH,119,415,No,Yes,35,217.1,92,36.91,220.8,134,18.77,249.5,93,11.23,8,5,2.16,2,FALSE
941,LA,155,408,No,Yes,39,183.3,106,31.16,205.1,101,17.43,263.7,90,11.87,5.1,7,1.38,1,FALSE
942,IL,78,415,Yes,No,0,236.8,141,40.26,265.3,101,22.55,152.4,77,6.86,9.5,2,2.57,1,TRUE
943,NJ,153,415,No,No,0,193.8,90,32.95,195.3,121,16.6,182.7,108,8.22,8.5,3,2.3,1,FALSE
944,NE,154,415,No,No,0,191.4,93,32.54,205.4,119,17.46,205.7,121,9.26,10.2,3,2.75,3,FALSE
945,WV,48,408,No,No,0,275.2,67,46.78,180.2,108,15.32,159,110,7.15,7.9,2,2.13,1,FALSE
946,ND,94,408,No,No,0,174,85,29.58,241.1,114,20.49,207.8,94,9.35,7.9,1,2.13,1,FALSE
947,UT,139,415,No,No,0,165,132,28.05,249.7,86,21.22,170.3,128,7.66,12.6,8,3.4,1,FALSE
948,MS,126,415,No,No,0,228.7,102,38.88,168.7,99,14.34,223.5,100,10.06,11.8,4,3.19,1,FALSE
949,MN,122,415,No,No,0,107.9,88,18.34,235.8,109,20.04,228.6,119,10.29,9.5,3,2.57,2,FALSE
950,KS,131,415,No,Yes,28,249.6,87,42.43,227.2,138,19.31,239.9,92,10.8,7.6,3,2.05,3,FALSE
951,KS,36,510,No,No,0,178.6,83,30.36,213.1,103,18.11,198,119,8.91,10.9,5,2.94,1,FALSE
952,NV,180,510,No,No,0,139,96,23.63,224.9,64,19.12,170.8,118,7.69,15.7,5,4.24,2,FALSE
953,MT,25,415,No,No,0,134.3,98,22.83,202.3,109,17.2,195.9,100,8.82,12.6,5,3.4,2,FALSE
954,AK,120,415,No,No,0,178.4,97,30.33,168.3,113,14.31,120.5,93,5.42,9.3,9,2.51,1,FALSE
955,AR,109,510,No,No,0,170.7,101,29.02,240.2,82,20.42,119,112,5.36,11.4,4,3.08,2,FALSE
956,LA,162,510,No,Yes,33,184.5,139,31.37,183.2,78,15.57,127.4,106,5.73,12.3,6,3.32,0,FALSE
957,KS,124,510,No,Yes,37,161.2,109,27.4,204.2,79,17.36,231.5,87,10.42,8.9,4,2.4,1,FALSE
958,OR,177,408,No,No,0,84.9,77,14.43,257.5,109,21.89,210.5,66,9.47,7.5,5,2.03,2,FALSE
959,WI,91,510,No,No,0,217.9,71,37.04,230.1,116,19.56,232.1,110,10.44,10.6,2,2.86,1,FALSE
960,CO,105,408,No,No,0,270.9,98,46.05,226.2,110,19.23,178.8,60,8.05,8.8,5,2.38,0,TRUE
961,KS,24,510,No,No,0,243,91,41.31,183.9,77,15.63,184.3,109,8.29,15.3,6,4.13,0,TRUE
962,IA,86,408,No,No,0,126.3,115,21.47,168.8,112,14.35,154.6,95,6.96,9.8,7,2.65,2,FALSE
963,NE,91,510,No,No,0,159,109,27.03,255.1,142,21.68,82.4,73,3.71,10.1,4,2.73,0,FALSE
964,OH,147,415,Yes,Yes,24,219.9,118,37.38,208.5,116,17.72,352.5,111,15.86,8.1,4,2.19,3,FALSE
965,TN,108,510,No,Yes,34,162.1,83,27.56,171.8,117,14.6,259.8,76,11.69,9.6,3,2.59,4,TRUE
966,OK,159,510,No,No,0,198.8,107,33.8,195.5,91,16.62,213.3,120,9.6,16.5,7,4.46,5,FALSE
967,ND,136,510,Yes,No,0,256.8,90,43.66,230.1,104,19.56,143.6,82,6.46,9.1,10,2.46,3,FALSE
968,NC,45,408,No,Yes,38,196.8,92,33.46,254.2,108,21.61,261.8,85,11.78,7.7,2,2.08,1,FALSE
969,MN,122,415,No,No,0,140.1,120,23.82,231.4,128,19.67,188.1,127,8.46,11.2,5,3.02,2,FALSE
970,MN,138,415,No,No,0,194.3,83,33.03,189.9,97,16.14,232.2,102,10.45,9,3,2.43,5,FALSE
971,MA,132,415,No,No,0,117.6,66,19.99,214,108,18.19,239.5,94,10.78,8.8,5,2.38,1,FALSE
972,GA,58,510,No,No,0,243.1,105,41.33,231.4,108,19.67,180.9,120,8.14,7.8,4,2.11,2,FALSE
973,NV,81,415,No,No,0,145.4,132,24.72,129.3,91,10.99,186.4,109,8.39,5.2,4,1.4,1,FALSE
974,TX,87,415,No,No,0,169.1,105,28.75,169.9,102,14.44,244.9,106,11.02,9.9,10,2.67,3,FALSE
975,ME,116,510,No,No,0,229.3,93,38.98,184.5,111,15.68,168.2,91,7.57,8.8,3,2.38,2,FALSE
976,MN,62,510,No,Yes,33,186.4,84,31.69,201,136,17.09,286.7,103,12.9,11.1,3,3,2,TRUE
977,TN,98,415,No,No,0,162.8,65,27.68,185,109,15.73,219.5,104,9.88,6,3,1.62,2,FALSE
978,RI,107,510,Yes,No,0,194.4,83,33.05,247.8,84,21.06,245.4,93,11.04,11.2,7,3.02,2,FALSE
979,NC,30,510,No,No,0,145,76,24.65,240.7,112,20.46,197.1,134,8.87,7.1,4,1.92,3,FALSE
980,MA,40,408,No,Yes,31,224.7,69,38.2,134.5,81,11.43,120.3,104,5.41,7.5,5,2.03,1,TRUE
981,TN,72,408,No,No,0,147,79,24.99,162.3,103,13.8,162.9,80,7.33,10.5,4,2.84,1,FALSE
982,WY,95,415,No,Yes,39,260.8,130,44.34,213.4,111,18.14,195.6,97,8.8,10.1,5,2.73,1,FALSE
983,IA,42,415,No,No,0,155.4,127,26.42,164.1,45,13.95,157.7,128,7.1,9,3,2.43,0,FALSE
984,IN,86,415,No,No,0,166.2,112,28.25,255.3,81,21.7,228.1,97,10.26,5.4,7,1.46,1,FALSE
985,FL,55,510,No,Yes,45,130.5,114,22.19,208.4,94,17.71,141.6,114,6.37,11,5,2.97,4,TRUE
986,MT,74,415,No,No,0,162.7,102,27.66,292,105,24.82,183.3,80,8.25,8.7,6,2.35,0,FALSE
987,ND,81,408,Yes,Yes,37,237.1,76,40.31,264.2,125,22.46,271.3,120,12.21,7.9,3,2.13,1,FALSE
988,MI,81,408,No,No,0,166.2,102,28.25,217.6,112,18.5,220.2,68,9.91,13.2,2,3.56,4,FALSE
989,MT,28,415,No,No,0,121.7,48,20.69,125.8,112,10.69,261.6,122,11.77,8.3,2,2.24,6,TRUE
990,AL,111,510,No,No,0,176.4,62,29.99,201,124,17.09,150.4,138,6.77,11.2,2,3.02,0,FALSE
991,NV,3,510,No,Yes,27,67.4,116,11.46,244,78,20.74,281.1,93,12.65,11.4,2,3.08,2,FALSE
992,FL,68,415,No,Yes,24,176,118,29.92,277.9,116,23.62,174.7,71,7.86,14.7,7,3.97,1,FALSE
993,NY,163,408,No,No,0,247.7,77,42.11,269.5,108,22.91,167.3,82,7.53,9.6,7,2.59,0,TRUE
994,KS,87,510,No,No,0,115.4,90,19.62,262.6,68,22.32,245.7,69,11.06,13.1,5,3.54,2,FALSE
995,NC,58,510,No,No,0,112.2,95,19.07,209.6,108,17.82,260.9,78,11.74,13.9,1,3.75,0,TRUE
996,MN,109,408,No,No,0,162.6,138,27.64,154,109,13.09,209.7,118,9.44,11.5,4,3.11,0,FALSE
997,RI,111,415,No,No,0,229.4,107,39,214.1,99,18.2,289.6,95,13.03,10.4,6,2.81,4,FALSE
998,UT,144,415,No,No,0,139.6,96,23.73,124.2,93,10.56,95.6,75,4.3,15,4,4.05,2,FALSE
999,OR,135,415,No,No,0,263.8,66,44.85,251.3,116,21.36,200.1,112,9,8.4,2,2.27,5,TRUE
1000,SC,109,415,No,Yes,46,217.5,123,36.98,233.7,84,19.86,163.9,99,7.38,9,3,2.43,4,FALSE
1001,IL,107,415,No,Yes,14,114.3,132,19.43,199.8,91,16.98,194.7,74,8.76,7.5,8,2.03,1,FALSE
1002,OH,149,408,No,No,0,196.3,108,33.37,136.8,96,11.63,154.7,87,6.96,7.7,3,2.08,2,FALSE
1003,MA,56,510,No,No,0,253.2,95,43.04,188,116,15.98,142,133,6.39,4.4,4,1.19,1,FALSE
1004,OR,129,408,No,No,0,98,99,16.66,240.7,62,20.46,254.8,123,11.47,10.5,4,2.84,0,FALSE
1005,CA,92,408,No,No,0,249.4,118,42.4,211.5,95,17.98,169,116,7.61,9.1,3,2.46,0,FALSE
1006,WV,67,415,No,Yes,30,129.6,107,22.03,233,104,19.81,297,93,13.37,14.5,5,3.92,1,FALSE
1007,VT,120,415,No,No,0,221.3,106,37.62,267.6,98,22.75,111.5,80,5.02,9.3,7,2.51,0,FALSE
1008,GA,76,408,No,No,0,203.6,61,34.61,161.7,127,13.74,175.9,97,7.92,8.4,3,2.27,0,FALSE
1009,ME,79,415,No,No,0,213.6,110,36.31,234.9,121,19.97,229.6,157,10.33,8.8,3,2.38,2,FALSE
1010,HI,98,415,No,Yes,31,181.6,112,30.87,220.7,100,18.76,236.3,121,10.63,12.9,4,3.48,2,FALSE
1011,AZ,141,510,No,Yes,22,215.4,123,36.62,328.7,98,27.94,160.5,89,7.22,7.8,6,2.11,1,FALSE
1012,IA,46,510,No,No,0,199.2,111,33.86,175.1,83,14.88,210.6,84,9.48,10.2,2,2.75,3,FALSE
1013,CT,137,415,No,No,0,115,130,19.55,137.8,83,11.71,224,61,10.08,7.3,4,1.97,3,FALSE
1014,WA,171,408,No,No,0,270.5,69,45.99,230,112,19.55,136,111,6.12,9.6,5,2.59,1,TRUE
1015,VA,10,415,No,No,0,222.2,127,37.77,153.1,125,13.01,227.4,80,10.23,12.9,4,3.48,1,FALSE
1016,CO,88,510,No,No,0,61.9,78,10.52,262.6,114,22.32,212.5,110,9.56,8.8,2,2.38,3,FALSE
1017,TX,82,415,No,No,0,189.2,81,32.16,184.4,117,15.67,255.8,83,11.51,10.6,5,2.86,3,TRUE
1018,SD,139,510,No,No,0,196,135,33.32,186,146,15.81,153,92,6.89,9.8,1,2.65,3,FALSE
1019,VA,87,415,No,No,0,171.6,119,29.17,205,107,17.43,170.6,114,7.68,13.8,4,3.73,0,FALSE
1020,NY,137,415,Yes,No,0,174,123,29.58,161.3,115,13.71,260.7,98,11.73,11.4,3,3.08,2,FALSE
1021,WA,45,510,No,No,0,78.6,106,13.36,187.3,110,15.92,184.2,111,8.29,7.4,5,2,1,TRUE
1022,TN,103,415,No,No,0,141.3,123,24.02,253.6,87,21.56,215.8,96,9.71,6.4,2,1.73,1,FALSE
1023,CT,100,415,No,No,0,235.8,130,40.09,176,69,14.96,63.6,122,2.86,7.3,1,1.97,2,FALSE
1024,WA,110,510,No,No,0,185.1,100,31.47,165.1,88,14.03,111.6,104,5.02,6.3,4,1.7,3,FALSE
1025,NH,124,415,No,No,0,254.3,113,43.23,78.9,104,6.71,153.2,69,6.89,11.8,2,3.19,2,FALSE
1026,MT,10,510,No,No,0,183,103,31.11,214.8,77,18.26,206.4,73,9.29,8.7,6,2.35,2,FALSE
1027,NE,89,415,No,Yes,29,163.5,80,27.8,274.8,136,23.36,381.9,147,17.19,7.5,5,2.03,2,FALSE
1028,WA,121,408,No,No,0,207.9,98,35.34,210.5,96,17.89,109.6,114,4.93,7.7,2,2.08,2,FALSE
1029,WI,101,415,No,No,0,248.6,102,42.26,174.9,93,14.87,207.2,86,9.32,6.1,3,1.65,3,FALSE
1030,AR,103,415,No,Yes,31,185.4,105,31.52,197.6,126,16.8,147.1,110,6.62,14.5,4,3.92,2,FALSE
1031,WI,51,408,No,No,0,197.8,60,33.63,221,64,18.79,168.6,134,7.59,8.9,5,2.4,1,FALSE
1032,DE,2,415,Yes,No,0,132.1,42,22.46,138.9,88,11.81,192.6,119,8.67,9.1,1,2.46,2,TRUE
1033,NH,111,510,No,No,0,197.1,117,33.51,227.8,128,19.36,214,101,9.63,9.3,11,2.51,0,FALSE
1034,VA,118,415,No,No,0,154.6,112,26.28,184.2,105,15.66,217.4,102,9.78,12.6,5,3.4,2,FALSE
1035,TN,17,510,No,Yes,31,153.1,115,26.03,185.9,59,15.8,224.3,102,10.09,10,1,2.7,6,TRUE
1036,VA,130,408,No,No,0,211.2,119,35.9,231.1,120,19.64,220.9,80,9.94,6.3,9,1.7,2,FALSE
1037,AZ,137,415,No,No,0,141.1,91,23.99,147.2,100,12.51,254.7,75,11.46,8,7,2.16,2,FALSE
1038,MT,185,408,No,Yes,29,151.1,121,25.69,244.7,88,20.8,154.4,91,6.95,13.8,2,3.73,2,FALSE
1039,OK,101,408,No,No,0,209.6,107,35.63,228.8,96,19.45,172.4,85,7.76,7.6,2,2.05,3,FALSE
1040,ID,95,415,No,Yes,32,247,109,41.99,125.6,91,10.68,226.5,90,10.19,10.5,4,2.84,3,FALSE
1041,KS,126,408,No,No,0,321.3,99,54.62,167.9,93,14.27,193.6,106,8.71,8,4,2.16,1,TRUE
1042,MS,124,415,No,No,0,251.5,85,42.76,214.2,98,18.21,186.1,71,8.37,11.1,6,3,3,FALSE
1043,WY,97,510,Yes,No,0,236.9,107,40.27,157.6,105,13.4,241,120,10.85,7.3,2,1.97,0,TRUE
1044,TX,28,415,No,No,0,159.7,79,27.15,216.7,131,18.42,206.7,116,9.3,9.3,3,2.51,2,FALSE
1045,WA,90,415,Yes,No,0,148.2,96,25.19,220.4,111,18.73,134.2,97,6.04,9.2,1,2.48,4,TRUE
1046,HI,190,408,No,No,0,150.9,86,25.65,268.6,129,22.83,179.9,73,8.1,14.7,1,3.97,1,FALSE
1047,AK,52,415,No,Yes,24,170.9,71,29.05,201.4,80,17.12,159,124,7.15,4.1,5,1.11,2,FALSE
1048,MD,73,510,No,No,0,254.7,80,43.3,90.2,79,7.67,153.4,60,6.9,10.6,8,2.86,0,FALSE
1049,PA,106,408,Yes,No,0,133.7,45,22.73,187.8,107,15.96,181.9,89,8.19,10.7,2,2.89,1,TRUE
1050,NC,111,408,No,No,0,224.9,117,38.23,191.9,127,16.31,229.9,97,10.35,10.3,3,2.78,0,FALSE
1051,VT,59,408,No,No,0,151.8,98,25.81,209.9,92,17.84,266.9,86,12.01,11.9,5,3.21,1,FALSE
1052,KY,71,510,No,Yes,22,141.4,107,24.04,163,105,13.86,220,99,9.9,5.6,3,1.51,2,FALSE
1053,WA,55,408,No,No,0,285.7,124,48.57,230.9,106,19.63,230.7,140,10.38,14.8,7,4,0,TRUE
1054,LA,13,415,No,No,0,58.4,121,9.93,262.2,64,22.29,159,115,7.15,11.9,5,3.21,1,FALSE
1055,WA,136,415,No,Yes,16,90.4,105,15.37,201.3,109,17.11,227.1,115,10.22,13.1,4,3.54,0,FALSE
1056,ME,123,408,No,No,0,114.4,91,19.45,216.6,123,18.41,250.6,102,11.28,11,3,2.97,0,FALSE
1057,WI,105,408,No,No,0,147.7,103,25.11,222.7,78,18.93,163.5,102,7.36,12.8,3,3.46,2,FALSE
1058,TX,50,408,No,Yes,31,302.7,93,51.46,240.5,119,20.44,193.9,103,8.73,13.6,14,3.67,3,FALSE
1059,IA,118,415,No,No,0,136.1,120,23.14,204.2,103,17.36,228.2,90,10.27,11.3,4,3.05,1,FALSE
1060,VT,73,415,No,No,0,217.8,91,37.03,220.6,97,18.75,277.3,89,12.48,10.3,6,2.78,1,TRUE
1061,HI,35,415,No,No,0,124.2,102,21.11,123.9,115,10.53,135.7,100,6.11,13.1,8,3.54,2,FALSE
1062,WY,64,415,No,No,0,206.2,76,35.05,232.4,76,19.75,251.6,96,11.32,13.6,2,3.67,1,FALSE
1063,WV,63,510,No,No,0,132.9,122,22.59,67,62,5.7,160.4,121,7.22,9.9,2,2.67,3,FALSE
1064,OK,117,415,No,Yes,31,104.9,115,17.83,237.6,125,20.2,263.4,104,11.85,7.7,6,2.08,3,FALSE
1065,CT,115,415,No,No,0,245,97,41.65,250.7,75,21.31,270.2,124,12.16,13.7,8,3.7,1,TRUE
1066,UT,162,408,No,No,0,184.5,118,31.37,224,95,19.04,180.5,82,8.12,11.6,3,3.13,1,FALSE
1067,NY,89,415,No,No,0,89.5,66,15.22,179.3,104,15.24,225.1,116,10.13,12.3,1,3.32,3,FALSE
1068,VA,94,415,Yes,No,0,235.6,131,40.05,194.8,107,16.56,170.6,93,7.68,8.6,4,2.32,1,FALSE
1069,VT,129,408,No,No,0,186,127,31.62,262.3,96,22.3,98.9,63,4.45,11.5,6,3.11,4,FALSE
1070,PA,96,510,No,No,0,179.5,125,30.52,162.3,139,13.8,264.5,133,11.9,6.6,2,1.78,1,FALSE
1071,SC,108,415,No,No,0,112,105,19.04,193.7,110,16.46,208.9,93,9.4,4.1,4,1.11,4,TRUE
1072,MI,97,408,No,Yes,32,168.4,129,28.63,225.9,97,19.2,191.8,95,8.63,8.5,7,2.3,0,FALSE
1073,VT,84,415,No,Yes,42,214.3,112,36.43,188.2,107,16,333.5,117,15.01,11.3,10,3.05,0,FALSE
1074,OH,65,415,No,No,0,245.7,139,41.77,241.9,113,20.56,285.3,117,12.84,4.2,5,1.13,4,TRUE
1075,VT,131,415,No,Yes,34,156.6,134,26.62,71,95,6.04,261.7,120,11.78,13.4,10,3.62,1,FALSE
1076,IL,58,415,Yes,Yes,43,142.8,96,24.28,272.3,100,23.15,193.4,105,8.7,8.9,4,2.4,1,FALSE
1077,WI,54,415,No,No,0,116.8,119,19.86,123.1,123,10.46,217.5,101,9.79,12,2,3.24,1,FALSE
1078,GA,125,415,No,Yes,39,236.1,107,40.14,289.2,110,24.58,175.4,107,7.89,9.1,4,2.46,2,FALSE
1079,VT,72,415,No,Yes,21,138.1,113,23.48,260.1,83,22.11,135.4,118,6.09,8.2,2,2.21,2,FALSE
1080,CT,141,408,No,No,0,51.9,108,8.82,162,83,13.77,223.5,115,10.06,10.1,3,2.73,3,FALSE
1081,AZ,113,510,No,No,0,81.3,116,13.82,220.6,124,18.75,235.7,113,10.61,8.9,3,2.4,0,FALSE
1082,SD,20,415,No,Yes,35,171.5,98,29.16,153.1,127,13.01,165.6,125,7.45,7.1,3,1.92,0,FALSE
1083,CT,212,415,No,No,0,126,96,21.42,144.3,80,12.27,302.8,102,13.63,7.6,3,2.05,1,FALSE
1084,IN,99,415,Yes,No,0,197.2,127,33.52,156,92,13.26,204.1,99,9.18,9.9,6,2.67,4,FALSE
1085,OH,94,510,No,No,0,194.1,62,33,227.2,54,19.31,190.4,115,8.57,15.3,4,4.13,1,FALSE
1086,NY,40,510,No,No,0,115.7,105,19.67,127.8,113,10.86,107.5,91,4.84,9.3,6,2.51,1,FALSE
1087,NE,86,510,No,Yes,29,157.2,118,26.72,196.3,136,16.69,226.7,109,10.2,8.4,5,2.27,3,FALSE
1088,OK,101,415,No,No,0,269.7,85,45.85,207.6,86,17.65,214.2,107,9.64,4.5,15,1.22,3,TRUE
1089,HI,105,510,No,No,0,227.4,121,38.66,268.5,89,22.82,143.3,82,6.45,13,4,3.51,1,FALSE
1090,MD,140,415,Yes,Yes,27,188.9,124,32.11,160.9,102,13.68,197.7,100,8.9,11.5,5,3.11,4,FALSE
1091,TX,98,408,No,Yes,19,110.5,87,18.79,227.8,97,19.36,243.6,84,10.96,11,4,2.97,1,FALSE
1092,AZ,104,408,No,No,0,167.6,116,28.49,219.2,112,18.63,215.9,94,9.72,11.7,2,3.16,4,FALSE
1093,NE,70,415,No,No,0,213.4,86,36.28,204.7,77,17.4,256.6,101,11.55,5.7,4,1.54,1,FALSE
1094,KY,126,510,No,No,0,175.4,120,29.82,98.3,71,8.36,201.9,93,9.09,10.6,1,2.86,0,FALSE
1095,NV,87,510,No,Yes,39,82.6,113,14.04,224.4,63,19.07,163.6,88,7.36,9.5,1,2.57,3,FALSE
1096,MO,86,415,No,No,0,125.5,139,21.34,269.8,93,22.93,235.8,110,10.61,8.9,8,2.4,1,FALSE
1097,NJ,1,415,No,Yes,30,183.1,95,31.13,232.6,110,19.77,248.3,110,11.17,8.4,2,2.27,0,FALSE
1098,NH,133,408,No,No,0,162.1,91,27.56,212.1,94,18.03,260.4,78,11.72,12.2,5,3.29,1,FALSE
1099,NC,103,510,No,No,0,166.6,84,28.32,192.4,91,16.35,167.9,115,7.56,7.7,6,2.08,1,FALSE
1100,MT,131,415,No,Yes,24,135.9,60,23.1,233.2,78,19.82,210.6,121,9.48,9.4,4,2.54,1,FALSE
1101,LA,99,510,No,No,0,142.3,89,24.19,204.5,95,17.38,203.1,114,9.14,9.1,1,2.46,0,FALSE
1102,NV,27,510,No,No,0,177.6,121,30.19,296.8,92,25.23,192.9,106,8.68,7.6,3,2.05,3,FALSE
1103,AK,141,408,No,No,0,83.2,74,14.14,190.6,104,16.2,150.5,79,6.77,10.7,7,2.89,1,FALSE
1104,OH,29,415,Yes,Yes,37,235,101,39.95,183.3,79,15.58,139.8,106,6.29,5.7,7,1.54,2,FALSE
1105,NM,65,415,No,No,0,105.7,95,17.97,141.8,100,12.05,180.5,105,8.12,6.6,12,1.78,2,FALSE
1106,MI,81,415,Yes,No,0,149.4,68,25.4,171.9,98,14.61,214.5,97,9.65,17.9,3,4.83,3,TRUE
1107,MN,37,415,No,Yes,20,264.7,81,45,216.5,110,18.4,210.7,102,9.48,10.4,7,2.81,0,FALSE
1108,WY,107,510,No,Yes,31,160.3,45,27.25,221.5,70,18.83,261.6,109,11.77,5.6,1,1.51,1,FALSE
1109,WY,127,415,Yes,Yes,28,95.9,117,16.3,159.5,131,13.56,152.8,132,6.88,10.4,3,2.81,1,FALSE
1110,WA,78,408,No,No,0,140.7,77,23.92,195.2,114,16.59,252.9,107,11.38,11.7,5,3.16,0,FALSE
1111,RI,176,415,No,No,0,250.9,108,42.65,171.4,100,14.57,148.6,85,6.69,9.6,6,2.59,2,FALSE
1112,AL,96,415,Yes,No,0,200.6,117,34.1,289.5,120,24.61,98.3,95,4.42,11.2,5,3.02,2,FALSE
1113,WV,11,510,No,Yes,38,209.8,130,35.67,196.6,84,16.71,233,79,10.49,7,7,1.89,1,FALSE
1114,WV,48,415,No,Yes,34,198,70,33.66,273.7,121,23.26,217.9,71,9.81,7.6,4,2.05,1,FALSE
1115,UT,47,408,No,Yes,37,112.8,150,19.18,243.9,97,20.73,178.7,112,8.04,13.2,6,3.56,2,FALSE
1116,IL,89,415,Yes,Yes,19,112.6,114,19.14,261.7,132,22.24,123.5,116,5.56,11.1,2,3,0,TRUE
1117,MI,83,510,No,Yes,26,226.4,117,38.49,234.7,97,19.95,133.6,82,6.01,10.8,7,2.92,1,FALSE
1118,WI,126,415,Yes,Yes,34,244.9,118,41.63,219.6,105,18.67,210.8,136,9.49,9.7,6,2.62,4,FALSE
1119,ND,60,510,No,No,0,203.2,99,34.54,235.8,131,20.04,224.9,112,10.12,15.1,6,4.08,2,FALSE
1120,VT,122,415,No,No,0,136.7,115,23.24,243.1,137,20.66,188.9,110,8.5,8.6,4,2.32,0,FALSE
1121,WA,136,408,No,No,0,152.6,97,25.94,208.9,85,17.76,119.1,99,5.36,5,10,1.35,1,FALSE
1122,NC,172,408,No,Yes,47,274.9,102,46.73,186.6,118,15.86,245,123,11.03,8.8,2,2.38,1,FALSE
1123,ME,102,510,No,No,0,195.7,116,33.27,209.1,87,17.77,201.1,73,9.05,8.3,3,2.24,1,TRUE
1124,SD,113,415,Yes,No,0,204.3,82,34.73,188.8,115,16.05,139.4,97,6.27,9.2,7,2.48,1,FALSE
1125,WV,79,415,No,No,0,222.3,99,37.79,146.2,82,12.43,275.6,82,12.4,8.9,4,2.4,3,FALSE
1126,ID,55,510,No,Yes,8,222.5,104,37.83,171.5,94,14.58,377.5,114,16.99,9.7,2,2.62,1,FALSE
1127,GA,160,415,No,No,0,174.3,105,29.63,171.3,107,14.56,220.8,131,9.94,8.3,2,2.24,0,FALSE
1128,FL,110,415,No,No,0,242.5,110,41.23,162.3,140,13.8,184.1,86,8.28,7.8,3,2.11,4,FALSE
1129,CO,192,415,No,No,0,221.6,101,37.67,285.2,50,24.24,167.4,83,7.53,12.7,6,3.43,4,FALSE
1130,NV,93,408,No,No,0,114.3,100,19.43,221.1,103,18.79,126.3,88,5.68,10.9,9,2.94,0,FALSE
1131,IN,101,415,No,Yes,33,219.7,137,37.35,186.8,94,15.88,184.5,113,8.3,9.5,2,2.57,2,FALSE
1132,VA,77,510,No,No,0,144.9,136,24.63,151.3,115,12.86,252.4,73,11.36,12.3,3,3.32,2,FALSE
1133,UT,105,415,No,Yes,40,236.5,111,40.21,117,110,9.95,221.1,115,9.95,8.1,3,2.19,2,FALSE
1134,UT,133,408,No,Yes,44,174,80,29.58,209.4,113,17.8,224.1,87,10.08,14.1,7,3.81,2,TRUE
1135,MO,131,408,No,No,0,109.5,95,18.62,332.1,48,28.23,258.6,108,11.64,6.6,7,1.78,1,FALSE
1136,CT,106,510,No,Yes,33,81.6,120,13.87,235.6,85,20.03,150.9,113,6.79,9.9,4,2.67,1,FALSE
1137,HI,118,415,No,No,0,133.4,113,22.68,121,92,10.29,254.7,129,11.46,5.9,4,1.59,1,FALSE
1138,MD,125,408,No,No,0,137.1,94,23.31,209.8,83,17.83,238.4,114,10.73,8.6,4,2.32,1,FALSE
1139,VA,95,415,No,No,0,197,88,33.49,190.4,68,16.18,211.9,104,9.54,16.1,8,4.35,0,FALSE
1140,MT,80,415,No,No,0,198.1,160,33.68,156.7,87,13.32,182.1,76,8.19,9.3,3,2.51,3,FALSE
1141,SC,145,408,No,No,0,39.5,78,6.72,264.3,106,22.47,185.8,90,8.36,10,6,2.7,0,FALSE
1142,CO,37,408,No,No,0,199.5,107,33.92,207.5,110,17.64,83.9,123,3.78,8.1,4,2.19,2,FALSE
1143,ID,87,415,No,No,0,156.8,93,26.66,215.8,68,18.34,223.3,77,10.05,7.6,6,2.05,1,FALSE
1144,AL,69,415,No,No,0,183.4,85,31.18,237.6,100,20.2,228,94,10.26,9,5,2.43,3,FALSE
1145,CO,83,510,No,No,0,132.4,120,22.51,121.6,101,10.34,197.7,84,8.9,8.6,2,2.32,1,FALSE
